voiceID,meanF0Hz,stdevF0Hz,HNR,localJitter,ppq5Jitter,localShimmer,apq11Shimmer
f15a,273.0660322209115,8.137111865677308,4.923342595268971,0.03361419574534897,0.020711529512036246,0.11156113895765082,0.09790855903289185
m4a,175.3183703663531,0.8091006935655772,22.355090118764824,0.0021869503309504684,0.0012271020260403755,0.039697132976715205,0.029329684570303206
f44a,260.92062252240095,6.093177042044329,3.650457670423755,0.04376535753599657,0.028388615967356687,0.10372126801367496,0.09149596302053856
f40a,248.68446008234798,1.3238492296138171,20.433904139879896,0.003035234737147794,0.0018551232516915014,0.005270857356842158,0.004229035035760695
f50i,206.1150808011554,1.355797955054464,16.262354570608633,0.003995420904652128,0.0025320449012964283,0.025405503317838554,0.019990672586216122
f50a,215.4809587312028,1.5351898941522473,18.137806725659896,0.004928917464134968,0.0026124612474303314,0.0553506713718403,0.04637995270263696
f47al,273.4377663234312,18.42473185879626,12.616350453843843,0.006140135157402126,0.0035406416026857275,0.11121298061850779,0.07780421662494733
m3i,118.30607678287234,0.7473948374713159,12.552376560680075,0.004367351619054316,0.002598618141765148,0.08629759768989329,0.05760151663425124
m3a,106.09848697545003,1.109477277313673,18.760007077350522,0.002311833351946937,0.0015016017827799227,0.04079405817123752,0.043819935654690195
f49al,261.7247712204438,1.4212223514240536,16.239941010956503,0.005655903874330197,0.0034200434985291353,0.049509956091015016,0.0334358986741129
f41a,196.19543005004445,1.441226564815126,12.33069032002609,0.005462197986911189,0.003316948025474679,0.09069349736246146,0.06643798362218445
f43a,224.1764044559462,4.214661607181112,10.588067602734524,0.008800245928194346,0.004941117940838102,0.14405884758775694,0.10090661127933702
f45a,256.7925546433576,3.332186485852692,18.124393129785922,0.0041515257002378275,0.002572424204978508,0.04604544817141673,0.03505511198057647
f38i,238.09186452234948,1.5802140429177671,15.1409196161899,0.003262573710052715,0.0019515748751519728,0.024196233336729406,0.018213226303864523
f38a,223.86794233249108,1.8116217450173382,18.194400268674308,0.0031406183808092643,0.0018432002513076304,0.03641712997957149,0.03151010799852674
m5a,139.4005600110319,1.4817594730311618,11.592027123872578,0.010595895031134688,0.005047086720397963,0.16659274163979162,0.12130395744025942
f41a,278.2766816794747,4.25689442979029,11.751211959962022,0.00679648260345268,0.0037857635346264045,0.08715814100084446,0.06798127466348682
f46a,257.0638486555158,2.132996757965492,14.731705702962694,0.004524086679832346,0.0026760109484807366,0.05014710587810982,0.0382420748572265
f42a,254.6913780814344,25.48189348305294,8.344585476176388,0.02359824046638198,0.011940199981975489,0.1264703699189167,0.14779804167934238
f39a,267.3510772828056,1.7130264940895832,23.258517155744336,0.0019179324097469942,0.0011370803358628327,0.03091107170366633,0.02628093142429088
f48a,283.16949826064194,2.057688448160407,17.50420422702575,0.004201601469136414,0.0024834845339999903,0.06900537119794296,0.05353568180544481
f51a,249.39992175791085,1.6952945380134894,19.27730744860767,0.0038850906404213205,0.002181975395651781,0.0491194657347885,0.03394936873059211
f34a,189.3294592084326,4.12555768066824,17.452033076144897,0.005226551547808403,0.0029314517396101035,0.026811844064534802,0.028513015906537376
